Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
2019-10-05,42,1752.21970373801,4570.6090118885,52,29,43.7171577,13.2084417,43.7191104,13.2112457,1.36398858059096,4.83549880981445,0.282734811306,5416,,,,,82674229,1383479,1260226,
2019-10-06,49,1608.50468666822,1481.69216656685,9,9,43.7090563,12.2502426,44.1486121,13.2091795,0.607302419443516,1.32474887371063,0.313401490449905,3622,,,,,76932402,3078692,,
2019-10-07,115,2010.34549059184,10675.1322461367,82,53,44.1440675,12.236902,44.1509008,12.2549032,0.983384582025293,8.76844024658203,0.260985970497131,9530,,,,1067192,79221350,2920886,1751000,
2019-10-08,59,1628.36529436682,1602.83307671547,36,36,44.1438891,12.2481609,44.1484728,12.2537501,0.530558861049708,2.06392931938171,0,3994,,,,1126652,81730448,2299368,,
2019-10-09,129,2138.13221889292,14130.5105434656,94,66,44.1440336,12.2223184,44.1509509,12.2548367,1.08157907576818,8.86148929595947,0.269926697015762,8372,,,,2674809,77154628,3639205,1704175,
2019-10-10,99,1718.03328752375,7048.95810709521,39,39,44.1341072,12.234825,44.1490352,12.2554429,1.01652167845374,9.44007110595703,0.250111550092697,5845,,,,1690589,79272058,3628699,,
2019-10-11,55,1624.20610230427,4398.02153873444,27,27,44.1340659,12.2350153,44.1452336,12.2526799,0.949336537171952,8.60737609863281,0.274661898612976,3934,,,,709295,81833262,2657031,,
2019-10-12,145,1843.23145003088,7722.853916049,60,60,44.1380298,12.2373387,44.1483997,12.2585472,1.18901967840972,6.07241630554199,0.293609231710434,10098,,,,1672768,75085708,6347862,,
2019-10-13,107,1729.87418659413,6131.50485873222,50,50,44.1349123,12.2396736,44.1485749,12.2535339,0.785263599582869,11.2592744827271,0.0400669910013676,7823,,,,1006783,79718904,4617026,,
2019-10-14,61,1621.76774775349,7230.57568013668,29,29,44.1440755,12.2347884,44.1487293,12.2536009,1.06070493050566,5.66526651382446,0,2166,,,,1855477,82480680,1375864,,
2019-10-15,67,1626.08160557728,3022.8498455286,20,20,44.1440827,12.2481609,44.1508813,12.2555767,0.63898215270015,2.82341957092285,0.303444594144821,5856,,,,,81581906,3246391,90720,
2019-10-16,69,1625.22847014112,4321.48776984215,26,26,44.1441002,12.2351,44.1484643,12.2531968,0.85885830317327,5.28395366668701,0.0770819559693337,3372,,,,1649270,82114694,1671529,,
2019-10-17,112,1783.01257433637,7191.3431699276,61,61,44.1446228,12.2351468,44.1489931,12.2555065,0.959025546427031,3.06829714775085,0.121048182249069,9687,,,,583287,76379810,6216964,,
2019-10-18,123,1792.45161575696,10670.2209262848,73,73,43.7045475,12.2360239,44.148279,13.2226549,0.838681609275034,5.84505987167358,0.259999513626099,6759,,,,2887939,73982237,3950204,,
2019-10-19,61,1629.41382664773,4857.5960380435,30,30,43.7197976,13.2023425,43.72252,13.2109061,0.88365149958341,11.8994741439819,0.206157967448235,4159,,,,788015,77511357,2584479,,
